タイムリミット;タイムリミット feat. いとうかなこ;North-T;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;1
＊ハロー、プラネット。;＊ハロー、プラネット。 feat. 桃井はるこ;sasakure.UK;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;2
ココロ;ココロ feat. 加賀美セイラ;トラボルタ;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;3
VOiCE;VOiCE feat. 実谷なな;ラヴリーP;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;4
OVER;OVER feat. いとうかなこ;ShakeSphere;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;5
ルカルカ★ナイトフィーバー;ルカルカ★ナイトフィーバー feat. 桃井はるこ;samfree;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;6
SETSUNA Ver. 2;SETSUNA Ver. 2 feat. 加賀美セイラ;SHIKI, amyu;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;7
1;1 feat. 桃井はるこ;ラマーズP;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;1;8
極楽鳥 -bird of paradise-;極楽鳥 -bird of paradise- feat. 加賀美セイラ;ゆうゆ;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;1
Melody in the sky;Melody in the sky feat. 実谷なな;40mP;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;2
廻紐時計;廻紐時計 feat. 花たん;ふゆ;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;3
悪ノ召使;悪ノ召使 feat. いとうかなこ;mothy;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;4
Transmit;Transmit feat. 花たん;Dios/シグナルP;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;5
Lost Story;Lost Story feat. 花たん;ゆよゆっぺ;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;6
すべてが終わってしまう前に;すべてが終わってしまう前に feat. あらた, 実谷なな;arata;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;7
サラリーマンのうた;サラリーマンのうた feat. 桃井はるこ;彩音P;VOC＠LOID GENERATION～ボカロに代わって歌ってみた～;2;8
